id,image_path,latent_vector,cluster_label,cluster_center_distance,tsne-2d-one,tsne-2d-two
20,(더틸버리) 세일러 칼라 배색 니트 원피스 TN4M1OP51.jpeg,"0.25884205,0.0,0.0,0.0,0.0,0.052001834,0.0,0.0,0.25134474,0.0,0.58031166,0.0,0.876992,0.0,0.0,0.0,0.0,1.0620838,0.0,0.0,0.41979924,0.23499647,0.094878644,0.5992845,0.0,0.19542804,0.0,0.0,0.3095918,0.10633749,0.0,0.0,0.0,0.117534295,0.72440356,0.10414624,0.0,1.3015922,0.68615514,0.0,0.0,0.39125216,0.30277613,0.5447103,0.0,0.0,0.19790705,1.3078588,0.0,1.0864701,0.52730125,0.04150629,0.3383445,0.0,0.0,0.0,0.0,0.99522716,0.0,0.309744,0.5930109,0.09184092,0.43529543,1.07861",6,0.9514679,2.505975,-8.2080555
21,(예쎄) 하프넥 플리츠배색 원피스(YT11OP40M).jpeg,"0.28474253,0.0,0.754971,0.0,0.0,0.6444432,0.0,0.0,0.20480804,0.0,0.15523183,0.0,0.9499184,0.22743696,0.29915476,0.0,0.0,0.12781504,0.2856868,0.46897894,0.096921995,0.6261742,0.5546082,0.0,0.18552816,0.39797992,0.0,0.0,0.6841413,0.50172794,0.0,0.0,0.0,0.8302198,0.978794,0.025291543,0.0,1.2177877,0.0,0.3389718,0.0,0.6537678,0.54377216,0.6673411,0.0,0.0,0.9040589,1.5676558,0.0,0.7584364,0.13401473,0.7396788,0.0,0.16752923,0.0,0.0,0.0,1.0016207,0.0,0.12446922,1.0167209,0.0,0.28294006,1.7448472",8,1.56303,3.9814079,11.906506
22,40890_지퍼반오픈 냉감 메모리원피스.jpeg,"0.0,0.0,0.026663393,0.0,0.0,0.0,0.0,0.0,0.548739,0.0,0.111769676,0.0,0.76547366,0.0,0.24542834,0.0,0.7140703,0.85641026,0.0,0.0,0.09861994,0.3294855,0.48784804,0.9775413,0.0,0.4085406,0.0,0.0,0.0,0.04330191,0.0,0.0,0.0,0.29923618,0.7601737,0.0,0.0,1.6319381,0.37981492,0.0,0.0,0.45182696,0.37043068,0.26918456,0.0,0.0,0.45066458,0.82429415,0.0,0.7102758,0.26847014,0.17048258,0.2748301,0.0,0.0,0.18578336,0.0,1.0197603,0.0,0.54474413,0.9930303,0.0,0.5194487,1.3068005",4,1.2698346,-1.8596865,-8.988273
23,43859_허리비죠 메모리 핀턱원피스.jpeg,"0.0,0.0,0.24496754,0.0,0.0,0.0,0.0,0.0,0.5073887,0.0,0.37134045,0.0,0.82295054,0.0,0.075188294,0.0,0.33199042,0.92662525,0.0,0.14915726,0.2999283,0.19443238,0.34433937,0.5851404,0.0,0.16777839,0.0,0.0,0.03640769,0.07564694,0.0,0.0,0.0,0.6761714,0.8837061,0.03652054,0.0,1.5406692,0.0,0.0,0.0,0.8417518,0.35276037,0.29966223,0.0,0.0,0.46922076,1.0832717,0.0,0.63199896,0.2226606,0.20991364,0.20566823,0.0,0.0,0.0,0.0,1.2129229,0.0,0.08272576,0.8281343,0.0,0.9507329,1.3249869",4,1.1465305,-2.3874295,-7.6827583
24,4단캉캉 레이스 롱원피스.jpeg,"0.5785339,0.0,0.7725944,0.0,0.0,0.14708674,0.0,0.0,0.54318285,0.0,0.19227287,0.0,1.0723057,0.0,0.07974212,0.0,0.0,0.0,0.008238785,0.5560596,0.0,0.0,0.34673762,0.0,0.0,0.46098033,0.0,0.0,0.43132424,0.36089173,0.0,0.0,0.0,0.5334876,1.3130188,0.074599355,0.0,1.0734661,0.057706177,0.22921011,0.0,0.064162016,0.118305534,0.43370122,0.0,0.0,0.3161247,1.9633019,0.0,1.1485375,0.0,0.5312592,0.0,0.4534488,0.0,0.0,0.0,1.118368,0.0,0.19989547,0.7243999,0.0,0.5054368,1.2162263",5,1.3220931,-11.488047,-1.3848425
25,7부소매 지그재그 나염 A라인 롱랩원피스 (3color).jpeg,"0.3250681,0.0,0.13278551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96838,0.0,1.3876255,0.0,0.0,0.0,0.0,0.90189385,0.0,0.061697483,0.0,0.2657174,0.004808426,0.37725723,0.0,0.33066422,0.0,0.0,0.34322992,0.0,0.0,0.0,0.0,0.3143368,0.8863643,0.32879156,0.0,1.3109142,0.22129458,0.0,0.32245553,0.059936076,0.5579506,0.4691647,0.0,0.0,0.4828552,0.8836739,0.0,0.85533524,0.5167933,0.0,0.0,0.091845006,0.0,0.0,0.0,1.1989175,0.0,0.0384081,0.29530805,0.0,0.45445645,1.055284",0,0.7801256,6.3496923,-10.924234
26,A425 린넨 써스버튼 원피스.jpeg,"0.22319707,0.0,0.6892497,0.0,0.0,0.0,0.0,0.0,0.20319286,0.0,0.24692214,0.0,1.6176871,0.0,0.4265024,0.0,0.0716759,1.4263661,0.08016455,0.23794541,0.60464334,0.5734486,0.0,0.07103822,0.0,0.0,0.38632792,0.0,0.7453662,0.030326128,0.0,0.0,0.0,0.7465573,1.2480012,0.35612375,0.0,0.80334693,0.21901843,0.0,0.05630091,0.39037248,0.061174676,0.5154148,0.004425943,0.0,0.47969687,1.4287337,0.0,1.3066173,0.23731425,0.0,0.0,0.03775701,0.0,0.0,0.0,0.6693572,0.0,0.39440686,0.46228775,0.0,0.8695871,1.400979",2,1.345321,-5.458583,7.3416643
27,VIVID 여성 민소매 루즈핏 나시 원피스.jpeg,"0.92461616,0.0,0.72998583,0.0,0.0,0.7132194,0.0,0.0,0.79502064,0.0,0.33477935,0.0,1.4333146,0.1721576,0.0,0.0,0.03768652,0.0,0.2194643,0.63583773,0.3383188,0.20546727,0.0,0.0,0.0,0.20192245,0.0,0.0,0.6222708,0.0,0.0,0.0,0.0,0.06455374,0.56765276,0.010977656,0.2188358,0.8887454,0.4707731,0.0,0.0,0.2374244,0.5646523,0.6228105,0.0,0.0,0.2470789,1.6000037,0.0,1.4636034,0.0,0.696556,0.19782847,0.14028424,0.0,0.0,0.0,0.7796035,0.0,0.6152427,0.20104426,0.0,0.1651727,1.4248977",5,1.3078014,10.942404,7.28272
28,[23 신상] 셔링디테일 더블카라 롱 원피스 (BGOAF7511).jpeg,"0.61568594,0.0,0.7289463,0.0,0.0,0.0,0.0,0.0,0.48590797,0.0,0.4039417,0.0,0.95880806,0.0,0.0,0.0,0.0,0.33125782,0.0,0.7334714,0.11790618,0.08604795,0.2753169,0.0,0.0,0.23810613,0.0,0.0,0.9476772,0.14009711,0.0,0.0,0.0,0.5296632,1.118584,0.14888081,0.0,0.4819432,0.48626938,0.0,0.0,0.19877408,0.022132069,0.5657102,0.0,0.0,0.44026223,1.6770098,0.0,1.6323574,0.095178224,0.30647904,0.0,0.36425203,0.0,0.0,0.0,0.42941448,0.0,0.5886026,0.59019935,0.13275145,0.4460082,1.4812039",5,1.0825939,6.4941087,7.69089
29,[2SET]골지니트 샤 원피스 가디건 세트.jpeg,"0.7050753,0.0,0.55597824,0.0,0.0,0.0,0.0,0.0,0.3907585,0.0,0.27956152,0.0,0.971966,0.0,0.2195878,0.0,0.0,0.7417556,0.0,0.3605632,0.05546139,0.3180672,0.42049852,0.0,0.0,0.12523341,0.13262752,0.0,0.62336826,0.08312631,0.0,0.0,0.0,0.6705859,1.2832808,0.08195108,0.0,0.75496924,0.15202004,0.15871066,0.0,0.51033115,0.10385828,0.6614628,0.0,0.0,0.29243279,1.4028994,0.0,1.2390413,0.38868237,0.0,0.0,0.20302187,0.0,0.0,0.0,0.84916246,0.0,0.43564084,0.98012936,0.051188976,0.48919746,1.2146603",2,1.0730156,-4.9882164,3.4201746
