id,image_path,latent_vector,cluster_label,cluster_center_distance,tsne-2d-one,tsne-2d-two
20,(더틸버리) 세일러 칼라 배색 니트 원피스 TN4M1OP51.jpeg,"0.0,0.0,0.0,0.3830602,0.0,0.96889937,0.53381336,0.4543444,0.0,0.0,0.0693925,0.46105075,0.0,0.0,0.0,0.41367447,0.3027157,0.42118096,0.0,0.4878136,0.827564,0.65172493,0.50277764,0.0,0.0,0.07316443,0.5300388,0.10890345,0.0,0.5028086,0.98680544,0.0,0.15195572,0.9209194,0.0,0.0,0.8181712,0.0,0.0,0.13156083,0.3345849,0.09133609,0.0,0.0,0.0,0.0,0.3902746,0.0,0.29211527,1.2249565,0.0,1.3659786,0.0,0.0,0.0,0.7275845,0.29422587,0.0737312,0.0,0.0,0.0,1.1592607,0.568915,0.0",4,0.76419425,11.626916,6.1808343
21,(예쎄) 하프넥 플리츠배색 원피스(YT11OP40M).jpeg,"0.0,0.0,0.0,0.37110344,0.0,0.43449602,0.0,0.5382584,0.048042566,0.12388983,0.0,0.22805214,0.0,0.02852413,0.004600145,0.0,0.2794728,0.0,0.3310073,1.3317604,0.0,1.3338916,0.0,0.09584731,0.0,0.18998773,0.23427121,0.16539769,0.0,0.0,0.0,0.06685431,0.0,0.84170216,0.0,0.0,1.0754023,0.1356804,0.0,0.47382212,0.3572529,0.0,0.0,0.0,0.0,0.0,0.0,0.2609071,0.989926,0.6806305,0.0,1.977019,0.0,0.0,0.0,0.0,0.1261167,0.0,0.0,0.0,0.0,0.45934126,0.7649951,0.0",1,1.1347307,-12.2789955,-3.87742
22,40890_지퍼반오픈 냉감 메모리원피스.jpeg,"0.0,0.0,0.0,0.0,0.0,1.439398,0.7117512,0.66112876,0.0,0.0,0.0,0.41151989,0.0,0.0,0.0,0.204799,0.6654517,0.43671757,0.0,0.672187,0.15591535,0.56745267,0.53163695,0.0,0.0,0.58883756,0.58812475,0.0,0.0,0.553164,1.0664405,0.0,0.142286,0.5641702,0.0,0.0,0.7831485,0.0,0.0,0.32427272,0.30980763,0.28049502,0.0,0.0,0.0,0.0,0.46064806,0.0,0.033107787,0.60951793,0.0,1.1553855,0.0,0.0,0.0,0.472304,0.39711457,0.15125921,0.0,0.0,0.0,0.70463127,0.43880463,0.0",2,1.2015369,13.990951,4.380257
23,43859_허리비죠 메모리 핀턱원피스.jpeg,"0.0,0.0,0.0,0.21912554,0.0,1.0052898,0.35603082,0.84449136,0.0,0.0,0.0,0.5115632,0.0,0.0,0.0,0.19805324,0.77999973,0.19654357,0.05987294,0.6009561,0.18268315,0.63072485,0.34198505,0.0,0.0,0.40634987,0.17352778,0.16015582,0.0,0.35233605,0.6401046,0.11536528,0.033064835,0.56509227,0.0,0.0,0.7552997,0.0,0.0,0.06798303,0.3281788,0.413324,0.0,0.0,0.0,0.0,0.46549106,0.0,0.60105026,0.9399772,0.0,1.3597401,0.0,0.0,0.0,0.536656,0.46754232,0.0,0.0,0.0,0.0,0.7988653,0.2497521,0.0",2,1.0163176,11.303729,0.6508885
24,4단캉캉 레이스 롱원피스.jpeg,"0.0,0.0,0.0,0.3393795,0.0,0.17206556,0.0,0.45831218,0.08658424,0.20319355,0.0,0.11901134,0.0,0.0,0.07499577,0.0,0.26526773,0.0,0.3349427,1.2263957,0.20422257,1.1684079,0.0,0.0,0.0,0.050593078,0.0,0.0,0.0,0.0,0.48629948,0.0,0.0,0.13246879,0.0,0.0,1.235377,0.102110475,0.0,0.0,0.09663883,0.0,0.0,0.0,0.0,0.0,0.0,0.091869175,0.89795625,0.64060473,0.0,2.1045575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62893987,0.7053679,0.0",1,0.8292132,-10.333299,-3.3171074
25,7부소매 지그재그 나염 A라인 롱랩원피스 (3color).jpeg,"0.0,0.0,0.0,0.22822998,0.0,0.8078083,0.32701045,0.3740472,0.0,0.0,0.059533834,1.0611427,0.0,0.0,0.0,0.2565454,0.18493284,0.4469126,0.0,1.0481654,0.64950734,1.027895,0.5070067,0.0,0.0,0.5160023,0.39567196,0.3323603,0.0,0.48083872,0.8531926,0.0,0.13682783,0.89917046,0.0,0.0,1.1076916,0.0,0.0,0.12474206,0.8298781,0.18190926,0.0,0.0,0.0,0.0,0.45188248,0.0,0.17499502,0.40642935,0.0,1.9956745,0.0,0.0,0.0,0.40927318,0.062195837,0.0,0.0,0.0,0.0,1.0561702,0.6914747,0.0",0,0.9983848,9.235712,10.261377
26,A425 린넨 써스버튼 원피스.jpeg,"0.0,0.0,0.0,0.5732519,0.0,0.96252143,0.0,1.0700381,0.0,0.0,0.3268967,0.6983651,0.0,0.0,0.0,0.24763691,0.0045612752,0.18114778,0.27993962,0.59829974,0.34736103,0.9234388,0.0,0.040934023,0.0,0.5121085,0.0,0.120865986,0.0,0.0,0.4714979,0.12896721,0.28226078,0.22359397,0.0,0.0,1.1627853,0.5241741,0.0,0.0,0.4230848,0.0,0.0070061386,0.0,0.0,0.0,0.8054025,0.0,0.2481211,1.0000453,0.0,1.7320035,0.0,0.0,0.0,0.37061,0.0,0.0,0.0,0.0,0.0,0.9043649,0.23198372,0.0",9,1.1628672,-0.32061282,-4.1639223
27,VIVID 여성 민소매 루즈핏 나시 원피스.jpeg,"0.0,0.0,0.0,0.37204564,0.0,0.11077505,0.0,0.1635257,0.0,0.43448904,0.0,0.0,0.0,0.0143508315,0.0,0.13890043,0.22020882,0.0,0.0,0.90985906,0.30194634,1.375078,0.0,0.0,0.0,0.0,0.07018846,0.0,0.0,0.30355448,0.15669394,0.0,0.6345747,0.09007576,0.0,0.0,1.1733081,0.013850242,0.0,0.0,0.28498262,0.0,0.0,0.0,0.0,0.0,0.19951957,0.0,0.35919392,0.21908031,0.0,2.1825085,0.0,0.0,0.0,0.22744924,0.0,0.0,0.0,0.0,0.0,0.5002235,0.53352094,0.0",1,1.1413298,-13.88359,-6.1290207
28,[23 신상] 셔링디테일 더블카라 롱 원피스 (BGOAF7511).jpeg,"0.0,0.0,0.14054403,0.0,0.0,0.16384059,0.0,0.70517313,0.0,0.34847865,0.0,0.40488446,0.0,0.0,0.24140412,0.0,0.0,0.11351821,0.0,0.9468093,0.24491557,1.1658186,0.0,0.21899167,0.0,0.106683254,0.063292295,0.0,0.0,0.0050467253,0.0,0.0,0.0,0.25103912,0.0,0.0,1.2573917,0.83598495,0.0,0.0,0.27152312,0.0,0.2157768,0.0,0.0,0.0,0.0,0.0,0.52322006,0.7345297,0.0,1.9341037,0.0,0.0,0.0,0.07099503,0.24144858,0.0,0.0,0.0,0.0,0.88744855,0.39397785,0.0",6,0.8553186,-8.9993515,-8.69997
29,[2SET]골지니트 샤 원피스 가디건 세트.jpeg,"0.0,0.0,0.0,0.43898863,0.0,0.7996199,0.0,0.65496397,0.0,0.28687122,0.0,0.34478354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8198747,0.36256027,1.1814462,0.0,0.049207836,0.0,0.07060456,0.0,0.032153398,0.0,0.0,0.39310044,0.0,0.031644583,0.74883926,0.0,0.0,0.80999786,0.37697196,0.0,0.0,0.40962684,0.0,0.0,0.0,0.0,0.0,0.0025748014,0.0,0.6064638,0.9542268,0.0,1.7231941,0.0,0.0,0.0,0.0,0.24756858,0.11091778,0.0,0.0,0.0,1.023443,0.72450566,0.0",9,1.0711342,-7.2805142,-2.0284266
30,[2SET]플리츠원피스 체크베스트 세트.jpeg,"0.0,0.0,0.16703305,0.024124905,0.025326729,0.18044508,0.0,0.52447957,0.0,0.18906893,0.0,0.54258215,0.0,0.0,0.008491591,0.0,0.0,0.08834964,0.0,1.1094227,0.541242,1.0595069,0.0,0.0,0.0,0.2484555,0.0,0.0,0.0,0.0,0.3879767,0.0,0.0,0.3348315,0.0,0.0,1.3733813,0.19285274,0.0,0.0,0.4217939,0.0,0.0,0.0,0.0,0.0,0.10086098,0.0,0.577948,0.45760605,0.0,2.0509539,0.0,0.0,0.0,0.34560686,0.0,0.0,0.0,0.0,0.0,1.0032942,0.780826,0.0",1,0.7239042,-9.001235,-5.3164353
31,"[55,66,77size] 진주 펄 트위드 플레어 원피스 RM2OP902.jpeg","0.0,0.0,0.0,0.1041895,0.0,0.9029151,0.62444544,0.5706045,0.0,0.0,0.0,0.34177655,0.0,0.0,0.0,0.24337825,0.35209176,0.28812483,0.0,0.85398066,0.3865288,0.8030857,0.47659633,0.0,0.0,0.0,0.32532495,0.10361727,0.0,0.59448695,0.80029595,0.0,0.0,0.6763885,0.0,0.0,0.7463824,0.0,0.0,0.30384254,0.2568156,0.090538055,0.0,0.0,0.0,0.0,0.49122187,0.0,0.19533712,0.92624354,0.0,1.3189266,0.0,0.025577217,0.0,0.7270144,0.21794179,0.09555215,0.0,0.0,0.0,0.84913874,0.51180345,0.0",4,0.75429696,8.723807,4.924389
32,[55~77](셀럽착용) 플라워 여신 롱원피스(2 color).jpeg,"0.0,0.0,0.07644771,0.27387258,0.0,0.4959668,0.0,0.51296663,0.037490577,0.38844752,0.0,0.8493893,0.0,0.0,0.0,0.0,0.021810234,0.18477327,0.0,1.1339477,0.5317724,1.0011564,0.08010799,0.0609307,0.0,0.107480675,0.5427293,0.0,0.0,0.25546935,0.40284437,0.0,0.04111862,0.7882786,0.0,0.0,1.2410364,0.17399019,0.0,0.0,0.5535365,0.0,0.0,0.0,0.0,0.0,0.0,0.11447702,0.31734782,0.64184463,0.0,1.8177602,0.0,0.0,0.0,0.0,0.28868088,0.0,0.0,0.0,0.0,0.8372567,0.788253,0.0",0,0.9648575,-1.0750738,-8.264447
33,[55~77까지] 트임 플리츠 히로인 원피스.jpeg,"0.0,0.0,0.0,0.3398592,0.10151029,0.9490953,0.19541359,0.46005768,0.0,0.6557096,0.0,0.8528122,0.0,0.0,0.0,0.0,0.23779052,0.0,0.0,1.2150712,0.28500292,0.65656674,0.47333562,0.264411,0.0,0.5448071,0.123751104,0.2102224,0.0,0.37544736,0.8196543,0.0,0.0,1.2793381,0.0,0.0,0.98648936,0.0,0.0,0.0,0.43791202,0.071719065,0.0,0.0,0.0,0.0,0.0,0.3543963,0.781098,0.84008205,0.0,2.0852122,0.0,0.0,0.0,0.0,0.51864517,0.58832705,0.0,0.0,0.0,0.9817114,0.86566466,0.0",0,1.6635463,1.6462169,9.895132
